COD;MUN.DIS;MUN;PROV;N2019;N2018;N2017;N2016;N2015;M2019;M2018;M2017;M2016;M2015
43058;Figuera, la;Figuera, la;Tarragona;2;2;1;4;;;;;;
17066;Figueres;Figueres;Girona;1378;1554;1489;1448;1563;482.15;456.17;437.63;422.2;412.14
43059;Figuerola del Camp;Figuerola del Camp;Tarragona;4;4;3;3;;;;;;
17067;Flaçà;Flaçà;Girona;2;29;13;23;13;488.25;489.25;48;433.7;473.85
43060;Flix;Flix;Tarragona;19;14;13;13;13;311.58;291.41;333.46;287.53;320.38
25092;Floresta, la;Floresta, la;Lleida;2;7;2;2;8;;956.43;;;621.88
8082;Fogars de la Selva;Fogars de la Selva;Barcelona;11;16;8;13;19;831.43;691.56;618.75;638.46;609.21
8081;Fogars de Montclús;Fogars de Montclús;Barcelona;4;11;2;4;4;;698.18;;;
17068;Foixà;Foixà;Girona;1;2;5;2;2;;;;;
8083;Folgueroles;Folgueroles;Barcelona;24;21;27;31;28;484.26;474.81;456.48;424.35;419.11
25093;Fondarella;Fondarella;Lleida;3;1;;;;;;;;
8084;Fonollosa;Fonollosa;Barcelona;9;4;9;9;4;593.89;;672.22;543.89;
17069;Fontanals de Cerdanya;Fontanals de Cerdanya;Girona;11;13;5;9;8;804.55;735.31;;672.22;581.25
17070;Fontanilles;Fontanilles;Girona;2;;;;;;;;;
17071;Fontcoberta;Fontcoberta;Girona;4;3;7;4;4;;;634.29;;
8085;Font0rubí;Font-rubí;Barcelona;14;6;18;13;11;753.21;638.33;522.22;41;453.18
25094;Foradada;Foradada;Lleida;;;1;;;;;;;
17902;Forallac;Forallac;Girona;17;2;21;18;4;556.93;516.5;466.19;799.26;431.07
43061;Forès;Forès;Tarragona;;;1;;;;;;;
17073;Fornells de la Selva;Fornells de la Selva;Girona;22;33;36;34;27;735.68;844.84;644.03;628.01;602.78
17074;Fortià;Fortià;Girona;12;5;8;9;4;487.19;;527.5;453.89;
8086;Franqueses del Vallès, les;Franqueses del Vallès, les;Barcelona;462;432;382;414;454;654.95;610.89;563.43;512.07;484.41
43062;Freginals;Freginals;Tarragona;;1;1;1;1;;;;;
25096;Fuliola, la;Fuliola, la;Lleida;8;11;5;12;5;307.5;324.55;;305.19;
25097;Fulleda;Fulleda;Lleida;;;1;;;;;;;
8090;Gaià;Gaià;Barcelona;3;3;1;;;;;;;
43063;Galera, la;Galera, la;Tarragona;3;2;4;5;;;;;;
8087;Gallifa;Gallifa;Barcelona;3;2;1;1;2;;;;;
43064;Gandesa;Gandesa;Tarragona;21;17;11;7;26;300.24;268.05;297.73;255;219.99
43065;Garcia;Garcia;Tarragona;1;;1;1;1;;;;;
43066;Garidells, els;Garidells, els;Tarragona;2;2;;;1;;;;;
8088;Garriga, la;Garriga, la;Barcelona;405;452;369;348;347;716.22;681.23;651.76;592.56;544.85
17075;Garrigàs;Garrigàs;Girona;3;9;11;3;8;;625.26;664.09;;888.75
17076;Garrigoles;Garrigoles;Girona;4;5;6;3;3;;;687.5;;
17077;Garriguella;Garriguella;Girona;11;21;12;14;9;480.45;43;558.33;586.93;622.56
8089;Gavà;Gavà;Barcelona;721;737;62;494;601;888.67;843.41;820.29;749.79;716.15
25098;Gavet de la Conca;Gavet de la Conca;Lleida;;;1;;;;;;;
8091;Gelida;Gelida;Barcelona;17;182;159;165;178;588.93;514.92;503.69;459.11;434.06
17078;Ger;Ger;Girona;7;8;7;4;4;826.43;696.25;74;;
25912;Gimenells i el Pla de la Font;Gimenells i el Pla de la Font;Lleida;;3;3;1;;;;;;
43067;Ginestar;Ginestar;Tarragona;6;4;4;3;4;269.17;;;;
17079;Girona;Girona;Girona;3572;3677;3267;3131;3316;634.23;597.75;561.03;515.46;485.63
8092;Gironella;Gironella;Barcelona;119;89;82;65;49;339.68;303.15;286.69;280.54;259.54
8093;Gisclareny;Gisclareny;Barcelona;;;;;;;;;;
43068;Godall;Godall;Tarragona;1;;;1;;;;;;
25099;Golmés;Golmés;Lleida;1;5;8;7;2;347;;400;41;
17080;Gombrèn;Gombrèn;Girona;;3;3;3;2;;;;;
25100;Gósol;Gósol;Lleida;2;7;1;3;9;;422.86;;;368.33
8094;Granada, la;Granada, la;Barcelona;19;27;23;25;29;453.24;480.03;553.27;389.23;433.38
25101;Granadella, la;Granadella, la;Lleida;3;1;2;3;;;;;;
8095;Granera;Granera;Barcelona;2;1;;2;1;;;;;
25102;Granja d'Escarp, la;Granja d'Escarp, la;Lleida;5;5;2;1;3;;;;;
8096;Granollers;Granollers;Barcelona;1382;1372;1334;1215;1212;663.56;632.59;582.41;531.15;491.53
25103;Granyanella;Granyanella;Lleida;;;1;;2;;;;;
25105;Granyena de les Garrigues;Granyena de les Garrigues;Lleida;1;;;;1;;;;;
25104;Granyena de Segarra;Granyena de Segarra;Lleida;;;;;;;;;;
43069;Gratallops;Gratallops;Tarragona;1;2;;2;1;;;;;
8097;Gualba;Gualba;Barcelona;15;29;24;2;32;692.67;602.41;619.58;504.49;519.22
17081;Gualta;Gualta;Girona;2;4;2;4;4;;;;;
8099;Guardiola de Berguedà;Guardiola de Berguedà;Barcelona;14;2;18;12;15;330;309.09;321.67;293.75;288.33
43070;Guiamets, els;Guiamets, els;Tarragona;3;4;6;;1;;;365;;
17082;Guils de Cerdanya;Guils de Cerdanya;Girona;7;6;9;7;8;878.57;911.67;666.67;1245.71;381.25
25109;Guimerà;Guimerà;Lleida;2;1;2;1;2;;;;;
25903;Guingueta d'Àneu, la;Guingueta d'Àneu, la;Lleida;;3;1;2;2;;;;;
2511;Guissona;Guissona;Lleida;128;9;13;141;116;373.04;383.27;356.92;350.29;348.98
25111;Guixers;Guixers;Lleida;;;;;1;;;;;
8100;Gurb;Gurb;Barcelona;1;9;12;1;13;597;533.89;614.17;574;56
43071;Horta de Sant Joan;Horta de Sant Joan;Tarragona;14;1;5;3;2;384.64;410.5;;;
8101;Hospitalet de Llobregat, l';Hospitalet de Llobregat, l';Barcelona;6135;6355;5762;5242;5077;697.24;653.27;608.25;554.74;521.68
8162;Hostalets de Pierola, els;Hostalets de Pierola, els;Barcelona;31;4;6;44;46;544.03;602.13;504.83;461.68;483.7
17083;Hostalric;Hostalric;Girona;94;115;87;9;91;482.95;451.39;435.13;425.57;388.3
8102;Igualada;Igualada;Barcelona;812;786;797;864;801;481.8;447.84;416.74;368.47;343.75
25115;Isona i Conca Dellà;Isona i Conca Dellà;Lleida;7;8;2;1;5;271.43;387.5;;;
17084;Isòvol;Isòvol;Girona;3;4;4;5;3;;;;;
25112;Ivars de Noguera;Ivars de Noguera;Lleida;2;;;1;;;;;;
25113;Ivars d'Urgell;Ivars d'Urgell;Lleida;14;8;12;7;12;337.14;297.5;287.5;284.29;306.25
25114;Ivorra;Ivorra;Lleida;;;;;;;;;;
17085;Jafre;Jafre;Girona;1;;2;1;2;;;;;
17086;Jonquera, la;Jonquera, la;Girona;127;116;154;118;126;434.33;441.38;434.2;424.83;405.17
8103;Jorba;Jorba;Barcelona;15;14;13;13;11;493;511.07;442.31;428.85;353.64
2591;Josa i Tuixén;Josa i Tuixén;Lleida;;2;1;1;1;;;;;
17087;Juià;Juià;Girona;1;8;4;2;4;;578.13;;;
25118;Juncosa;Juncosa;Lleida;3;3;2;2;2;;;;;
25119;Juneda;Juneda;Lleida;21;16;2;24;17;325.51;311.6;304.5;295.21;298.65
25121;Les;Les;Lleida;5;6;6;4;;;454.92;428.33;;
25122;Linyola;Linyola;Lleida;39;4;18;21;23;316.06;279.94;285.56;279.86;250.87
8104;Llacuna, la;Llacuna, la;Barcelona;26;11;9;6;5;457.31;353.64;416.67;521.67;
17088;Lladó;Lladó;Girona;13;8;12;13;11;580.77;648.75;571.25;475.27;560.58
25123;Lladorre;Lladorre;Lleida;3;1;;;;;;;;
25124;Lladurs;Lladurs;Lleida;2;1;1;1;3;;;;;
8105;Llagosta, la;Llagosta, la;Barcelona;161;174;164;163;141;611.32;563.27;517.6;492.96;470.14
17089;Llagostera;Llagostera;Girona;158;153;155;159;172;504.53;492.36;413.95;414.8;377.86
17090;Llambilles;Llambilles;Girona;1;2;5;;3;;;;;
17091;Llanars;Llanars;Girona;8;7;6;8;3;520;407.14;473.33;387.5;
17092;Llançà;Llançà;Girona;134;9;108;103;73;492.4;474.39;458.83;454.67;427.38
25125;Llardecans;Llardecans;Lleida;;;2;;;;;;;
25126;Llavorsí;Llavorsí;Lleida;3;7;3;4;6;;322.14;;;268.33
2512;Lleida;Lleida;Lleida;2592;2581;2716;2586;2543;458.97;432.32;407.18;393.63;385.73
17093;Llers;Llers;Girona;1;14;16;13;18;505;584.64;491.9;506.81;505.19
25127;Lles de Cerdanya;Lles de Cerdanya;Lleida;7;2;1;;;287.14;;;;
8107;Lliçà d'Amunt;Lliçà d'Amunt;Barcelona;87;94;86;96;93;814.2;790.4;774.16;685.21;669.27
8108;Lliçà de Vall;Lliçà de Vall;Barcelona;163;38;36;42;34;705.94;795.76;791.16;703.02;628.13
25128;Llimiana;Llimiana;Lleida;;;1;;;;;;;
8106;Llinars del Vallès;Llinars del Vallès;Barcelona;161;192;149;168;187;639.8;605.07;582.81;539.69;479.47
17094;Llívia;Llívia;Girona;38;4;39;23;27;500.92;551.88;693.85;421.3;498.15
43072;Lloar, el;Lloar, el;Tarragona;;;1;;;;;;;
25129;Llobera;Llobera;Lleida;;1;1;1;1;;;;;
43073;Llorac;Llorac;Tarragona;1;1;;;;;;;;
43074;Llorenç del Penedès;Llorenç del Penedès;Tarragona;3;37;2;16;2;455.31;502.84;416.31;513.13;449
17095;Lloret de Mar;Lloret de Mar;Girona;783;731;683;752;742;524.2;485.73;449.11;424.85;415.12
17096;Llosses, les;Llosses, les;Girona;4;2;2;1;3;;;;;
8109;Lluçà;Lluçà;Barcelona;1;3;3;1;4;;;;;
17102;Maçanet de Cabrenys;Maçanet de Cabrenys;Girona;7;7;6;7;8;447.14;460.71;383.33;455.71;477.29
17103;Maçanet de la Selva;Maçanet de la Selva;Girona;85;91;71;69;58;568.98;559.39;536.06;487.4;496.5
17097;Madremanya;Madremanya;Girona;2;4;3;4;1;;;;;
17098;Maià de Montcal;Maià de Montcal;Girona;4;2;4;9;3;;;;836.11;
25133;Maials;Maials;Lleida;3;2;;1;3;;;;;
2513;Maldà;Maldà;Lleida;1;1;;;;;;;;
811;Malgrat de Mar;Malgrat de Mar;Barcelona;308;364;336;32;316;559.42;550.86;495.21;471.15;470.03
8111;Malla;Malla;Barcelona;4;;2;1;3;;;;;
8112;Manlleu;Manlleu;Barcelona;356;358;359;323;342;446.13;412.74;380.19;360.54;359.65
8113;Manresa;Manresa;Barcelona;191;2025;2035;2027;1987;469.93;432.33;396.41;363.85;344.9
43076;Marçà;Marçà;Tarragona;1;12;5;7;8;317;292.92;;287.86;283.12
43075;Margalef;Margalef;Tarragona;;;;;;;;;;
8242;Marganell;Marganell;Barcelona;2;2;4;6;1;;;;471.67;
8114;Martorell;Martorell;Barcelona;414;421;398;351;361;592.21;574.79;554.94;501.19;472.34
8115;Martorelles;Martorelles;Barcelona;84;91;76;75;56;569.92;545.4;525.1;499.46;453.31
43077;Mas de Barberans;Mas de Barberans;Tarragona;;1;;;;;;;;
17100;Masarac;Masarac;Girona;7;7;5;1;4;517.14;546.43;;;
43078;Masdenverge;Masdenverge;Tarragona;8;5;5;8;3;262.5;;;262.5;
8116;Masies de Roda, les;Masies de Roda, les;Barcelona;4;3;1;5;5;;;;;
8117;Masies de Voltregà, les;Masies de Voltregà, les;Barcelona;26;24;21;24;24;457;462.71;384.52;355.97;380.54
43079;Masllorenç;Masllorenç;Tarragona;9;5;7;7;8;326.11;;35;318.57;388.13
8118;Masnou, el;Masnou, el;Barcelona;639;592;509;491;504;886.15;823.89;791.31;725.34;673.84
43080;Masó, la;Masó, la;Tarragona;2;1;4;2;2;;;;;
43081;Maspujols;Maspujols;Tarragona;6;9;4;4;2;473.33;527.78;;;
8119;Masquefa;Masquefa;Barcelona;122;144;126;112;133;607.55;566.35;569.78;506.5;473.68
43082;Masroig, el;Masroig, el;Tarragona;4;2;1;;3;;;;;
25131;Massalcoreig;Massalcoreig;Lleida;;2;;1;;;;;;
17101;Massanes;Massanes;Girona;7;13;5;3;8;383.76;527.31;;;392.5
25132;Massoteres;Massoteres;Lleida;2;;;2;1;;;;;
812;Matadepera;Matadepera;Barcelona;125;14;107;116;102;1074.75;932.82;954.32;877.56;896.01
8121;Mataró;Mataró;Barcelona;3053;3026;2964;2851;3023;652.68;628.68;576.51;539.72;503.31
8122;Mediona;Mediona;Barcelona;29;47;33;42;22;476.7;494.85;467.58;450.67;429.09
25134;Menàrguens;Menàrguens;Lleida;13;4;8;2;6;319.23;;379.38;;293.33
17099;Meranges;Meranges;Girona;2;1;;;;;;;;
17105;Mieres;Mieres;Girona;6;11;4;3;4;530;351.36;;;
43083;Milà, el;Milà, el;Tarragona;1;;;;1;;;;;
25135;Miralcamp;Miralcamp;Lleida;7;5;2;5;6;410.71;;;;308.33
43084;Miravet;Miravet;Tarragona;2;2;3;6;1;;;;216.67;
8138;Moià;Moià;Barcelona;175;161;152;169;138;488.7;457.78;454.01;412.15;391.05
43085;Molar, el;Molar, el;Tarragona;3;6;1;1;;;271.67;;;
8123;Molins de Rei;Molins de Rei;Barcelona;456;471;424;37;347;768.03;720.43;679.51;629.78;593.86
25137;Mollerussa;Mollerussa;Lleida;365;383;392;405;307;372.37;357.07;355.48;331.12;328.16
17106;Mollet de Peralada;Mollet de Peralada;Girona;1;1;2;5;6;;;;;448.33
8124;Mollet del Vallès;Mollet del Vallès;Barcelona;817;859;775;737;769;647.2;603.2;558.58;517.05;495.01
17107;Molló;Molló;Girona;3;3;3;;1;;;;;
25136;Molsosa, la;Molsosa, la;Lleida;1;;;;;;;;;
8128;Monistrol de Calders;Monistrol de Calders;Barcelona;6;11;5;6;4;404.17;367.15;;433.33;
8127;Monistrol de Montserrat;Monistrol de Montserrat;Barcelona;78;100;84;87;75;469.87;403.55;423.51;359.35;331.34
17109;Montagut i Oix;Montagut i Oix;Girona;13;15;15;14;1;519.62;514;513;471.79;52
43086;Montblanc;Montblanc;Tarragona;84;109;7;8;75;405.54;378.37;362.06;343.1;317.84
43088;Montbrió del Camp;Montbrió del Camp;Tarragona;63;71;62;44;47;459.01;394.77;379.93;348.35;354.36
8125;Montcada i Reixac;Montcada i Reixac;Barcelona;475;482;459;462;475;636.95;603.78;556.63;535.44;517.28
813;Montclar;Montclar;Barcelona;3;1;;;1;;;;;
25139;Montellà i Martinet;Montellà i Martinet;Lleida;11;17;5;11;1;441.82;412.45;;549.44;367.4
8131;Montesquiu;Montesquiu;Barcelona;36;23;25;22;15;340.63;363.04;378.8;295.32;316.67
2514;Montferrer i Castellbò;Montferrer i Castellbò;Lleida;12;1;11;11;9;570.83;45;463.18;534.55;495
43089;Montferri;Montferri;Tarragona;5;5;4;3;3;;;;;
25138;Montgai;Montgai;Lleida;2;2;3;4;1;;;;;
8126;Montgat;Montgat;Barcelona;166;233;221;159;196;885.67;833.36;835.04;740.58;679.18
8132;Montmajor;Montmajor;Barcelona;1;9;4;4;3;272;326.11;;;
8133;Montmaneu;Montmaneu;Barcelona;1;;1;2;1;;;;;
43090;Montmell, el;Montmell, el;Tarragona;1;11;5;1;5;529;507.45;;425;
8135;Montmeló;Montmeló;Barcelona;121;13;12;95;98;604.03;564.67;535.83;526.87;477.68
25142;Montoliu de Lleida;Montoliu de Lleida;Lleida;3;2;1;3;2;;;;;
25141;Montoliu de Segarra;Montoliu de Segarra;Lleida;2;3;;1;1;;;;;
25143;Montornès de Segarra;Montornès de Segarra;Lleida;1;2;3;;2;;;;;
8136;Montornès del Vallès;Montornès del Vallès;Barcelona;251;276;219;24;192;603.16;583.84;550.69;497.27;529.96
43091;Mont0ral;Mont-ral;Tarragona;;2;;1;;;;;;
1711;Mont0ras;Mont-ras;Girona;5;7;8;6;7;;928.57;584.38;808.86;92
43092;Mont0roig del Camp;Mont-roig del Camp;Tarragona;191;169;159;163;15;482.88;456.41;480.04;446.33;427.07
8137;Montseny;Montseny;Barcelona;11;17;8;6;1;525;476.47;600;458.33;412.5
43093;Móra d'Ebre;Móra d'Ebre;Tarragona;72;111;64;7;74;338.1;322.16;301.94;309.3;307.65
43094;Móra la Nova;Móra la Nova;Tarragona;19;24;2;23;21;318.74;272.71;267.1;312.17;276.96
43095;Morell, el;Morell, el;Tarragona;69;92;87;89;82;456.16;409.01;394.22;397.58;382.87
43096;Morera de Montsant, la;Morera de Montsant, la;Tarragona;2;2;;2;;;;;;
8129;Muntanyola;Muntanyola;Barcelona;8;6;8;4;4;851.8;539.81;587.5;;
8139;Mura;Mura;Barcelona;4;2;;;5;;;;;
25145;Nalec;Nalec;Lleida;1;;;;;;;;;
25025;Naut Aran;Naut Aran;Lleida;13;12;5;15;15;670.23;541.41;;687.3;835.02
814;Navarcles;Navarcles;Barcelona;86;100;102;11;93;444.25;419.46;380.69;348.83;358.9
8141;Navàs;Navàs;Barcelona;116;129;169;108;118;400.43;345.54;304.13;296.11;289.84
17111;Navata;Navata;Girona;31;34;32;36;25;655.65;669.43;596.72;584.03;624
25146;Navès;Navès;Lleida;1;3;2;1;;;;;;
8142;Nou de Berguedà, la;Nou de Berguedà, la;Barcelona;1;4;2;1;;;;;;
43097;Nou de Gaià, la;Nou de Gaià, la;Tarragona;5;7;8;7;4;;401.43;337.5;417.86;
43098;Nulles;Nulles;Tarragona;1;4;7;4;1;401.81;;470.71;;
25148;Odèn;Odèn;Lleida;2;1;6;1;2;;;321.67;;
8143;Òdena;Òdena;Barcelona;34;44;41;48;34;455.19;453.69;431.25;362.16;374.85
17112;Ogassa;Ogassa;Girona;3;3;2;2;2;;;;;
8145;Olèrdola;Olèrdola;Barcelona;47;3;33;24;21;632.77;656.03;648.94;592.08;587.38
8146;Olesa de Bonesvalls;Olesa de Bonesvalls;Barcelona;2;14;14;1;11;722.75;689.64;701.43;65;65
8147;Olesa de Montserrat;Olesa de Montserrat;Barcelona;35;365;353;333;338;603.87;569.6;525.08;499.18;460.04
25149;Oliana;Oliana;Lleida;19;18;4;9;17;300.79;25;;271.67;243.82
2515;Oliola;Oliola;Lleida;;;;;;;;;;
25151;Olius;Olius;Lleida;15;11;1;3;6;552.67;545;400;;398.33
8148;Olivella;Olivella;Barcelona;48;58;58;67;6;962.03;916.29;927.5;819.85;911.17
8149;Olost;Olost;Barcelona;12;13;7;7;9;522.92;421.15;494.29;331.43;38
17114;Olot;Olot;Girona;792;88;93;841;842;464.22;419.54;396.18;361.14;349.79
25152;Oluges, les;Oluges, les;Lleida;1;2;1;1;;;;;;
8144;Olvan;Olvan;Barcelona;6;16;9;3;9;332.97;326.88;376.11;;243.89
25153;Omellons, els;Omellons, els;Lleida;;1;;;1;;;;;
25154;Omells de na Gaia, els;Omells de na Gaia, els;Lleida;1;;1;;;;;;;
17115;Ordis;Ordis;Girona;1;5;2;3;3;;;;;
25155;Organyà;Organyà;Lleida;14;6;6;7;2;420.71;315;345.83;264.43;
815;Orís;Orís;Barcelona;;;3;2;;;;;;
8151;Oristà;Oristà;Barcelona;5;4;3;1;3;;;;;
8152;Orpí;Orpí;Barcelona;;1;;2;2;;;;;
8153;Òrrius;Òrrius;Barcelona;19;19;15;12;15;709.53;601.42;559;847.08;501.33
25156;Os de Balaguer;Os de Balaguer;Lleida;9;3;8;5;2;375.56;;365.8;;
17116;Osor;Osor;Girona;8;6;9;3;3;365.63;379.17;388.33;;
25157;Ossó de Sió;Ossó de Sió;Lleida;1;;;;;;;;;
8154;Pacs del Penedès;Pacs del Penedès;Barcelona;6;4;7;6;2;605;;851.29;559.17;
8155;Palafolls;Palafolls;Barcelona;103;131;124;107;109;551.2;494.89;474.03;462.14;451.42
17117;Palafrugell;Palafrugell;Girona;371;387;385;388;431;501.64;482.92;439.29;404.7;391.1
17118;Palamós;Palamós;Girona;326;318;336;296;267;595.65;545.19;506.58;484.41;467.15
25158;Palau d'Anglesola, el;Palau d'Anglesola, el;Lleida;16;29;14;15;15;394.97;372.73;396.43;400;352
17119;Palau de Santa Eulàlia;Palau de Santa Eulàlia;Girona;;2;1;1;;;;;;
17121;Palau0sator;Palau-sator;Girona;1;1;3;1;3;;;;;
1712;Palau0saverdera;Palau-saverdera;Girona;7;7;5;8;1;559.29;531.43;;490.63;486.02
8156;Palau0solità i Plegamans;Palau-solità i Plegamans;Barcelona;162;164;135;146;13;738.17;720.29;679.51;631.96;594.01
43100;Pallaresos, els;Pallaresos, els;Tarragona;13;16;22;13;26;537.54;693.44;597.73;590.38;520.38
8157;Pallejà;Pallejà;Barcelona;135;114;114;97;108;794.54;732.5;741.48;685.36;588.41
8905;Palma de Cervelló, la;Palma de Cervelló, la;Barcelona;7;8;63;68;68;670.93;663.1;638.97;581.71;560.07
43099;Palma d'Ebre, la;Palma d'Ebre, la;Tarragona;1;;;;;;;;;
17123;Palol de Revardit;Palol de Revardit;Girona;1;2;3;;1;;;;;
17124;Pals;Pals;Girona;2;15;18;11;1;656.66;962;623.61;558.18;495
8158;Papiol, el;Papiol, el;Barcelona;4;59;45;42;36;680.4;704.93;668.27;518.66;558.61
17125;Pardines;Pardines;Girona;2;3;;;;;;;;
8159;Parets del Vallès;Parets del Vallès;Barcelona;284;247;242;227;235;687.4;655.65;620.92;569.73;531.62
17126;Parlavà;Parlavà;Girona;2;7;3;2;3;;771.43;;;
43101;Passanant i Belltall;Passanant i Belltall;Tarragona;;;;;;;;;;
17128;Pau;Pau;Girona;2;4;4;3;3;;;;;
43102;Paüls;Paüls;Tarragona;1;1;;;1;;;;;
17129;Pedret i Marzà;Pedret i Marzà;Girona;;1;1;1;;;;;;
25164;Penelles;Penelles;Lleida;1;1;2;2;4;;;;;
1713;Pera, la;Pera, la;Girona;6;4;2;4;5;686.67;;;;
816;Perafita;Perafita;Barcelona;5;2;2;3;3;;;;;
43103;Perafort;Perafort;Tarragona;14;17;17;12;13;480.36;435.29;451.65;447.92;451.54
17132;Peralada;Peralada;Girona;48;52;55;51;51;633.13;609.37;614.36;639.36;621.37
25165;Peramola;Peramola;Lleida;2;2;2;5;4;;;;;
43104;Perelló, el;Perelló, el;Tarragona;14;22;14;8;8;269;291.36;323.93;277.5;268.13
8161;Piera;Piera;Barcelona;215;217;189;215;244;553.38;546.5;501.84;475.92;455.36
43105;Piles, les;Piles, les;Tarragona;3;3;;3;;;;;;
8163;Pineda de Mar;Pineda de Mar;Barcelona;603;663;598;648;66;553.25;522.39;476.43;466.41;459.04
43106;Pinell de Brai, el;Pinell de Brai, el;Tarragona;3;2;1;;2;;;;;
25166;Pinell de Solsonès;Pinell de Solsonès;Lleida;;2;2;;;;;;;
25167;Pinós;Pinós;Lleida;;;2;5;1;;;;;
43107;Pira;Pira;Tarragona;4;4;1;3;5;;;;;
43108;Pla de Santa Maria, el;Pla de Santa Maria, el;Tarragona;38;4;49;31;35;450.25;410.49;384.29;355.97;367.42
8164;Pla del Penedès, el;Pla del Penedès, el;Barcelona;22;15;29;33;18;469.43;426.67;438.1;392.93;402.78
17133;Planes d'Hostoles, les;Planes d'Hostoles, les;Girona;17;19;15;17;17;485.29;408.16;345.49;362.35;390.29
17134;Planoles;Planoles;Girona;7;3;5;2;2;441.69;;;;
25911;Plans de Sió, els;Plans de Sió, els;Lleida;2;2;4;3;1;;;;;
25168;Poal, el;Poal, el;Lleida;2;6;5;2;4;;366.67;;;
25169;Pobla de Cérvoles, la;Pobla de Cérvoles, la;Lleida;;1;1;;2;;;;;
8165;Pobla de Claramunt, la;Pobla de Claramunt, la;Barcelona;15;12;27;16;18;443;441.41;441.85;357.5;404.72
8166;Pobla de Lillet, la;Pobla de Lillet, la;Barcelona;1;15;12;15;8;282.5;282.78;295.42;296.88;303.13
43109;Pobla de Mafumet, la;Pobla de Mafumet, la;Tarragona;9;102;96;75;74;458.55;439.68;394.88;383.73;381.64
4311;Pobla de Massaluca, la;Pobla de Massaluca, la;Tarragona;1;;;1;2;;;;;
43111;Pobla de Montornès, la;Pobla de Montornès, la;Tarragona;65;54;59;51;4;566.42;494.4;470.03;471.45;407.5
25171;Pobla de Segur, la;Pobla de Segur, la;Lleida;58;67;28;33;38;306.24;301.65;289.7;260.58;246.3
43112;Poboleda;Poboleda;Tarragona;1;1;2;;1;;;;;
8167;Polinyà;Polinyà;Barcelona;107;125;116;59;77;647.66;631.43;526.04;563.8;521.76
43113;Pont d'Armentera, el;Pont d'Armentera, el;Tarragona;7;7;6;7;6;391.43;453.57;385;344.29;37
25030;Pont de Bar, el;Pont de Bar, el;Lleida;1;;;;2;;;;;
17135;Pont de Molins;Pont de Molins;Girona;8;1;7;15;12;416.25;465;405.71;411.67;389.17
25173;Pont de Suert, el;Pont de Suert, el;Lleida;37;33;4;33;19;356.88;344.62;351.5;360.45;345
8182;Pont de Vilomara i Rocafort, el;Pont de Vilomara i Rocafort, el;Barcelona;6;63;48;73;55;460.41;390.83;377.27;372.71;339.96
43141;Pontils;Pontils;Tarragona;;1;;1;;;;;;
8168;Pontons;Pontons;Barcelona;8;5;13;9;3;310.63;;344.23;302.22;
17136;Pontós;Pontós;Girona;3;4;7;3;3;;;607.14;;
25172;Ponts;Ponts;Lleida;15;23;29;28;3;291.33;295.65;276.55;255.71;312.62
17137;Porqueres;Porqueres;Girona;36;26;28;39;29;575.42;635.77;531.25;451.21;453.86
43114;Porrera;Porrera;Tarragona;3;2;1;2;1;;;;;
1714;Port de la Selva, el;Port de la Selva, el;Girona;22;31;21;18;27;489.7;553.65;484.83;479.61;425.33
17138;Portbou;Portbou;Girona;8;1;8;9;3;329.79;344;283.75;380.56;
25174;Portella, la;Portella, la;Lleida;4;6;9;11;6;;396.67;395.56;325.91;412.5
43115;Pradell de la Teixeta;Pradell de la Teixeta;Tarragona;1;1;;1;1;;;;;
43116;Prades;Prades;Tarragona;7;5;5;5;8;360.71;;;;298.12
43117;Prat de Comte;Prat de Comte;Tarragona;;1;;;;;;;;
8169;Prat de Llobregat, el;Prat de Llobregat, el;Barcelona;839;895;72;715;742;729.94;710.22;636.62;612.85;590.49
43118;Pratdip;Pratdip;Tarragona;3;4;4;3;3;;;;;
8171;Prats de Lluçanès;Prats de Lluçanès;Barcelona;28;3;22;19;21;419.2;355.32;360.68;314.74;353.81
817;Prats de Rei, els;Prats de Rei, els;Barcelona;7;7;9;3;2;415.71;324.06;299.63;;
25175;Prats i Sansor;Prats i Sansor;Lleida;8;1;8;5;2;702.13;657.5;777.13;;
25176;Preixana;Preixana;Lleida;2;1;1;2;1;;;;;
25177;Preixens;Preixens;Lleida;1;3;2;1;;;;;;
823;Premià de Dalt;Premià de Dalt;Barcelona;164;149;126;126;121;993.31;922.71;884.7;834.95;760.91
8172;Premià de Mar;Premià de Mar;Barcelona;647;772;576;584;578;759.42;723.39;696.31;628.14;600.94
17139;Preses, les;Preses, les;Girona;15;15;12;19;15;453.74;439.2;388.56;347.98;338.06
25179;Prullans;Prullans;Lleida;5;5;;3;3;;;;;
17141;Puigcerdà;Puigcerdà;Girona;276;300;272;298;276;498.5;490.99;456.92;432.98;408.96
8174;Puigdàlber;Puigdàlber;Barcelona;12;1;18;31;9;593.75;607;884.17;917.74;437.78
2518;Puiggròs;Puiggròs;Lleida;1;2;1;1;;;;;;
43119;Puigpelat;Puigpelat;Tarragona;15;14;17;17;16;474.33;402.86;390.59;388.82;424.06
8175;Puig0reig;Puig-reig;Barcelona;71;73;69;4;32;367.63;335.78;312.2;304.3;310.99
25181;Puigverd d'Agramunt;Puigverd d'Agramunt;Lleida;;3;1;;1;;;;;
25182;Puigverd de Lleida;Puigverd de Lleida;Lleida;3;4;3;3;6;;;;;418.33
8176;Pujalt;Pujalt;Barcelona;;;1;;;;;;;
